City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bathsheba,BB,78.8,thunderstorm with light rain,13.22,-59.52,Atlantis Hotel
4,Atuona,PF,78.49,clear sky,-9.8,-139.03,Villa Enata
24,Bubaque,GW,81.86,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
29,Dhidhdhoo,MV,81.7,few clouds,6.88,73.1,Dhidhoo beach
35,Eydhafushi,MV,81.95,broken clouds,5.1,73.07,Soneva Fushi
40,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
41,Guerrero Negro,MX,80.02,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
47,Gigmoto,PH,86.23,overcast clouds,13.78,124.39,Cj's Travellers Inn
48,Tabuk,PH,84.69,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
50,Bengkulu,ID,88.14,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
52,Mackay,AU,82.99,clear sky,-21.15,149.2,International Lodge Motel
56,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
57,Bitung,ID,93.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
60,Sao Filipe,CV,79.74,clear sky,14.9,-24.5,Tortuga B&B
65,Saint George,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
66,San Patricio,MX,78.6,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
68,Maumere,ID,86.23,overcast clouds,-8.62,122.21,Sylvia Hotel
71,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
75,Santa Rosa,PH,91.0,light rain,14.31,121.11,Erlyn’s Sta Rosa City Home
77,Sorong,ID,84.67,overcast clouds,-0.88,131.25,The Waigo Hotel
87,Namatanai,PG,84.16,moderate rain,-3.67,152.43,Namatanai Hotel
94,Ranong,TH,80.6,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
96,Mayumba,GA,75.45,overcast clouds,-3.43,10.66,LIKWALE LODGE
99,Singleton,AU,81.0,clear sky,-32.57,151.18,Quest Singleton
106,Oistins,BB,78.8,overcast clouds,13.07,-59.53,Butterfly Beach Hotel
111,Biak,ID,84.58,broken clouds,-0.91,122.88,Kost Ariz
112,Alyangula,AU,86.0,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
115,Tarakan,ID,83.26,scattered clouds,3.3,117.63,Hotel D' CaLia Tarakan
119,Butaritari,KI,82.02,clear sky,3.07,172.79,Isles Sunset Lodge
121,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
123,Laguna De Perlas,NI,77.95,overcast clouds,12.34,-83.67,Hotel Best View
125,Coahuayana,MX,76.95,broken clouds,18.73,-103.68,Hotel Los Arcos
129,Faanui,PF,79.05,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Corner Brook,CA,75.2,light rain,48.97,-57.95,Glynmill Inn
134,Kupang,ID,95.0,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
136,Pozo Colorado,PY,86.59,clear sky,-23.49,-58.8,Hospedaje la Amistad
140,Bobo Dioulasso,BF,75.2,broken clouds,11.18,-4.3,Rasma Bed and Breakfast
142,Bonthe,SL,75.11,overcast clouds,7.53,-12.51,Bonthe Holiday Village
144,Hobyo,SO,78.89,overcast clouds,5.35,48.53,Osmani Hotel
145,Alice Springs,AU,86.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
