city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bathsheba,BB,13.22,-59.52,78.8,88,90,21.92,thunderstorm with light rain
1,Carnarvon,AU,-24.87,113.63,71.6,68,0,23.04,clear sky
2,Busselton,AU,-33.65,115.33,61.0,78,97,11.01,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,28.4,92,90,27.51,heavy snow
4,Atuona,PF,-9.8,-139.03,78.49,76,3,20.89,clear sky
5,Nalut,LY,30.33,10.85,73.53,26,0,7.49,clear sky
6,Cherskiy,RU,68.75,161.3,40.62,68,100,15.57,overcast clouds
7,Mount Gambier,AU,-37.83,140.77,60.8,55,56,19.46,broken clouds
8,Buta,CD,2.79,24.73,68.65,98,100,1.36,overcast clouds
9,Mataura,NZ,-46.19,168.86,63.0,46,92,5.01,overcast clouds
10,Katangli,RU,51.71,143.23,53.64,64,16,4.9,few clouds
11,Lodja,CD,-3.48,23.43,68.99,90,96,0.69,light rain
12,Cidreira,BR,-30.18,-50.21,68.58,90,1,10.0,clear sky
13,Arraial Do Cabo,BR,-22.97,-42.03,73.08,90,73,23.85,broken clouds
14,Gweru,ZW,-19.45,29.82,58.28,87,12,5.1,few clouds
15,Rio Gallegos,AR,-51.62,-69.22,32.0,86,21,13.87,few clouds
16,Paamiut,GL,61.99,-49.67,33.82,73,59,9.1,broken clouds
17,Rikitea,PF,-23.12,-134.97,72.45,82,83,24.96,broken clouds
18,Albany,US,42.6,-73.97,59.0,94,0,1.99,clear sky
19,Aracuai,BR,-16.85,-42.07,73.2,65,2,2.82,clear sky
20,Saskylakh,RU,71.92,114.08,29.5,93,81,3.74,broken clouds
21,Klyuchevskiy,RU,53.53,119.45,47.95,60,95,5.97,overcast clouds
22,Qaanaaq,GL,77.48,-69.36,11.19,77,0,7.29,clear sky
23,Pietermaritzburg,ZA,-29.62,30.39,62.01,91,0,3.2,clear sky
24,Bubaque,GW,11.28,-15.83,81.86,75,98,6.15,overcast clouds
25,Kaitangata,NZ,-46.28,169.85,53.01,64,92,8.01,overcast clouds
26,Tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,13.87,overcast clouds
27,Port Elizabeth,ZA,-33.92,25.57,55.4,87,90,3.36,overcast clouds
28,Bluff,NZ,-46.6,168.33,63.0,46,98,5.01,overcast clouds
29,Dhidhdhoo,MV,6.88,73.1,81.7,72,22,11.14,few clouds
30,Korla,CN,41.76,86.15,59.63,28,100,3.29,overcast clouds
31,Yellowknife,CA,62.46,-114.35,39.2,93,75,4.7,light intensity shower rain
32,Bredasdorp,ZA,-34.53,20.04,55.4,71,100,18.34,light rain
33,Maniitsoq,GL,65.42,-52.9,29.75,82,0,9.84,clear sky
34,Hermanus,ZA,-34.42,19.23,53.82,75,100,24.43,light rain
35,Eydhafushi,MV,5.1,73.07,81.95,73,55,12.28,broken clouds
36,Esperance,AU,-33.87,121.9,69.8,60,5,14.99,clear sky
